,d_0*,i_0,d_0
565,17.4086,1.979125249,0.2236
566,17.4106,1.981610338,0.2216
567,17.4124,1.984592445,0.2198
568,17.4142,1.987574553,0.218
569,17.416,1.991053678,0.2162
570,17.418,1.994035785,0.2142
571,17.4198,1.995526839,0.2124
572,17.4216,1.999005964,0.2106
573,17.4234,2.001988072,0.2088
574,17.4252,2.003976143,0.207
575,17.427,2.008449304,0.2052
576,17.4288,2.010934394,0.2034
577,17.4306,2.013419483,0.2016
578,17.4324,2.016898608,0.1998
579,17.4342,2.019383698,0.198
580,17.436,2.021371769,0.1962
581,17.4378,2.024850895,0.1944
582,17.4396,2.027335984,0.1926
583,17.4414,2.030318091,0.1908
584,17.4432,2.033797217,0.189
585,17.445,2.035785288,0.1872
586,17.4468,2.038270378,0.1854
587,17.4486,2.042743539,0.1836
588,17.4504,2.045228628,0.1818
589,17.4522,2.048210736,0.18
590,17.454,2.052186879,0.1782
591,17.4556,2.053677932,0.1766
592,17.4574,2.055666004,0.1748
593,17.4592,2.059642147,0.173
594,17.461,2.061133201,0.1712
595,17.4628,2.065606362,0.1694
596,17.4644,2.068588469,0.1678
597,17.4662,2.072564612,0.166
598,17.468,2.075049702,0.1642
599,17.4696,2.078031809,0.1626
600,17.4714,2.079025845,0.1608
601,17.4732,2.084493042,0.159
602,17.4748,2.086481113,0.1574
603,17.4766,2.091451292,0.1556
604,17.4784,2.092942346,0.1538
605,17.48,2.097415507,0.1522
606,17.4818,2.100397614,0.1504
607,17.4836,2.102882704,0.1486
608,17.4852,2.106858847,0.147
609,17.487,2.110337972,0.1452
610,17.4886,2.113817097,0.1436
611,17.4904,2.117296223,0.1418
612,17.492,2.121272366,0.1402
613,17.4938,2.124254473,0.1384
614,17.4954,2.127236581,0.1368
615,17.497,2.130715706,0.1352
616,17.4988,2.133697813,0.1334
617,17.5004,2.135685885,0.1318
618,17.5022,2.13916501,0.13
619,17.5038,2.141650099,0.1284
620,17.5054,2.145626243,0.1268
621,17.5072,2.151093439,0.125
622,17.5088,2.150596421,0.1234
623,17.5104,2.156063618,0.1218
624,17.5122,2.159542744,0.12
625,17.5138,2.161033797,0.1184
626,17.5154,2.164512922,0.1168
627,17.517,2.16749503,0.1152
628,17.5188,2.170477137,0.1134
629,17.5204,2.176441352,0.1118
630,17.522,2.175944334,0.1102
631,17.5236,2.181908549,0.1086
632,17.5252,2.184393638,0.107
633,17.527,2.18638171,0.1052
634,17.5286,2.191351889,0.1036
635,17.5302,2.19333996,0.102
636,17.5318,2.198310139,0.1004
637,17.5334,2.201292247,0.0988
638,17.535,2.204771372,0.0972
639,17.5366,2.206759443,0.0956
640,17.5382,2.208250497,0.094
641,17.5402,2.214214712,0.092
642,17.5422,2.215705765,0.09
643,17.5442,2.222166998,0.088
644,17.5462,2.226143141,0.086
645,17.5482,2.230119284,0.084
646,17.5502,2.23359841,0.082
647,17.552,2.238071571,0.0802
648,17.554,2.240059642,0.0782
649,17.556,2.245526839,0.0762
650,17.558,2.248508946,0.0742
651,17.56,2.251988072,0.0722
652,17.5618,2.257952286,0.0704
653,17.5638,2.261431412,0.0684
654,17.5658,2.265904573,0.0664
655,17.5678,2.268389662,0.0644
656,17.5696,2.275347913,0.0626
657,17.5716,2.277833002,0.0606
658,17.5736,2.280815109,0.0586
659,17.5754,2.284791252,0.0568
660,17.5774,2.289264414,0.0548
661,17.5792,2.292743539,0.053
662,17.5812,2.295228628,0.051
663,17.5832,2.300695825,0.049
664,17.585,2.304671968,0.0472
665,17.587,2.309145129,0.0452
666,17.5888,2.311133201,0.0434
667,17.5908,2.317097416,0.0414
668,17.5926,2.320079523,0.0396
669,17.5946,2.32306163,0.0376
670,17.5966,2.327037773,0.0356
671,17.5984,2.331013917,0.0338
672,17.6002,2.335487078,0.032
673,17.6022,2.336481113,0.03
674,17.604,2.342942346,0.0282
675,17.606,2.344930417,0.0262
676,17.6078,2.345924453,0.0244
677,17.6098,2.352385686,0.0224
678,17.6116,2.354373757,0.0206
679,17.6136,2.36083499,0.0186
680,17.6154,2.361829026,0.0168
681,17.6172,2.365805169,0.015
682,17.6192,2.372763419,0.013
683,17.621,2.374254473,0.0112
684,17.6228,2.377733598,0.0094
685,17.6248,2.383697813,0.0074
686,17.6266,2.385685885,0.0056
687,17.6284,2.38916501,0.0038
688,17.6302,2.394632207,0.002
689,17.6322,2.39860835,0
